# New planet
0.000000000000000000e+00 0.000000000000000000e+00
1.699479704009450828e-11 0.000000000000000000e+00
5.098439230006293714e-11 3.354394483502406779e-15
1.019687845567848155e-10 1.341758224438114985e-14
1.699479701842284476e-10 3.354396413128386098e-14
2.549219431534418751e-10 6.708794079200747542e-14
3.568906950325460306e-10 1.174039104178496502e-13
4.758542149867304981e-10 1.878462664879382687e-13
6.118124897782509800e-10 2.817693955135415670e-13
7.647655037664297619e-10 4.025276747823612009e-13
9.347132389076578845e-10 5.534754701028104627e-13
1.121655674755400106e-09 7.379671335482802302e-13
1.325592788460201625e-09 9.593570012013949694e-13
1.546524554769697486e-09 1.220999390898261316e-12
1.784450946028623852e-09 1.526248599972710597e-12
2.039371932178832482e-09 1.878458903000540143e-12
2.311287480759306856e-09 2.280984549543752177e-12
2.600197556906179552e-09 2.737179761894795930e-12
2.906102123352754161e-09 3.250398732820813800e-12
3.229001140429528037e-09 3.823995623307893572e-12
3.568894566064217525e-09 4.461324560305330726e-12
3.925782355781785673e-09 5.165739634469900043e-12
4.299664462704472010e-09 5.940594897910144576e-12
4.690540837551823977e-09 6.789244361930677143e-12
5.098411428640733325e-09 7.715041994776500798e-12
5.523276181885471269e-09 8.721341719377354352e-12
5.965135040797729023e-09 9.811497411092076465e-12
6.423987946486656672e-09 1.098886289545299317e-11
6.899834837658909498e-09 1.225679194591034416e-11
7.392675650618692648e-09 1.361863828157672608e-11
7.902510319267809934e-09 1.507775556497157773e-11
8.429338775105712640e-09 1.663749739976570094e-11
8.973160947229556599e-09 1.830121732852581042e-11
9.533976762334251818e-09 2.007226883045912889e-11
1.011178614471252287e-08 2.195400531915802420e-11
1.070658901625497009e-08 2.394978014034470143e-11
1.131838529645012750e-08 2.606294656961591428e-11
1.194717490238452898e-08 2.829685781018775736e-11
1.259295774874277937e-08 3.065486699064049388e-11
1.325573374780761408e-08 3.314032716266343521e-11
1.393550280945997846e-08 3.575659129879987842e-11
1.463226484117909565e-08 3.850701229019212153e-11
1.534601974804254929e-08 4.139494294432650773e-11
1.607676743272634969e-08 4.442373598277856333e-11
1.682450779550502979e-08 4.759674403895818100e-11
1.758924073425171134e-08 5.091731965585488048e-11
1.837096614443820414e-08 5.438881528378313398e-11
1.916968391913508549e-08 5.801458327812778845e-11
1.998539394901178946e-08 6.179797589708950730e-11
2.081809612233670291e-08 6.574234529943037364e-11
2.166779032497725480e-08 6.985104354221950001e-11
2.253447644040001543e-08 7.412742257857874792e-11
2.341815434967079243e-08 7.857483425542854439e-11
2.431882393145473661e-08 8.319663031123375013e-11
2.523648506201644124e-08 8.799616237374968287e-11
2.617113761522004791e-08 9.297678195776816651e-11
2.712278146252935575e-08 9.814184046286368365e-11
2.809141647300792728e-08 1.034946891711396962e-10
2.907704251331921083e-08 1.090386792449749529e-10
3.007965944772664313e-08 1.147771617247699911e-10
3.109926713809376844e-08 1.207134875266937026e-10
3.213586544388436421e-08 1.268510074404300164e-10
3.318945422216256690e-08 1.331930721269246583e-10
3.426003332759297450e-08 1.397430321161320666e-10
3.534760261244079872e-08 1.465042378047624618e-10
3.645216192657197091e-08 1.534800394540288911e-10
3.757371111745328763e-08 1.606737871873945055e-10
3.871225003015253636e-08 1.680888309883199401e-10
3.986777850733862786e-08 1.757285206980107721e-10
4.104029638928175501e-08 1.835962060131652372e-10
4.222980351385349866e-08 1.916952364837218168e-10
4.343629971652699309e-08 2.000289615106072904e-10
4.465978483037707155e-08 2.086007303434845815e-10
4.590025868608039207e-08 2.174138920785010167e-10
4.715772111191560943e-08 2.264717956560365592e-10
4.843217193376352080e-08 2.357777898584522489e-10
4.972361097510720467e-08 2.453352233078387721e-10
5.103203805703219295e-08 2.551474444637651082e-10
5.235745299822662310e-08 2.652178016210275132e-10
5.369985561498139702e-08 2.755496429073983988e-10
5.505924572119034645e-08 2.861463162813755744e-10
5.643562312835039842e-08 2.970111695299315404e-10
5.782898764556174067e-08 3.081475502662629877e-10
5.923933907952798708e-08 3.195588059275402984e-10
6.066667723455635638e-08 3.312482837726575105e-10
6.211100191255783756e-08 3.432193308799821289e-10
6.357231291304738838e-08 3.554752941451054002e-10
6.505061003314407436e-08 3.680195202785924853e-10
