# New planet
8.656049948742595618e-06 5.591406746444919369e-07
8.825473736432934687e-06 5.755476001000183036e-07
8.996482178109133109e-06 5.922611709144568690e-07
9.169073164629973631e-06 6.092836866463854971e-07
9.343244573023798638e-06 6.266174272947419149e-07
9.518994266683708898e-06 6.442646531754622571e-07
9.696320095563976951e-06 6.622276048002049014e-07
9.875219896377659891e-06 6.805085027571695436e-07
1.005569149279537429e-05 6.991095475940232688e-07
1.023773269564520443e-05 7.180329197029443104e-07
1.042134130311372526e-05 7.372807792077946142e-07
1.060651510094810107e-05 7.568552658534322200e-07
1.079325186265924293e-05 7.767584988971743657e-07
1.098154934972599447e-05 7.969925770024226426e-07
1.117140531180031547e-05 8.175595781344603669e-07
1.136281748691344285e-05 8.384615594584328616e-07
1.155578360168299198e-05 8.597005572395215525e-07
1.175030137152098791e-05 8.812785867453210920e-07
1.194636850084278271e-05 9.031976421504300973e-07
1.214398268327684179e-05 9.254596964432652443e-07
1.234314160187537558e-05 9.480667013351072931e-07
1.254384292932577591e-05 9.710205871713892098e-07
1.274608432816285366e-05 9.943232628452343258e-07
1.294986345098182688e-05 1.017976615713254274e-06
1.315517794065204922e-05 1.041982511513614012e-06
1.336202543053144992e-05 1.066342794286372604e-06
1.357040354468165470e-05 1.091059286296108247e-06
1.378030989808376745e-05 1.116133787956833672e-06
1.399174209685478546e-05 1.141568077759211231e-06
1.420469773846461597e-05 1.167363912200072354e-06
1.441917441195368411e-05 1.193523025714251292e-06
1.463516969815109126e-05 1.220047130608735303e-06
1.485268116989331048e-05 1.246937916999141196e-06
1.507170639224339359e-05 1.274197052748519959e-06
1.529224292271064915e-05 1.301826183408496226e-06
1.551428831147079818e-05 1.329826932162745554e-06
1.573784010158655168e-05 1.358200899772811425e-06
1.596289582922860497e-05 1.386949664526265766e-06
1.618945302389701479e-05 1.416074782187211946e-06
1.641750920864294236e-05 1.445577785949131086e-06
1.664706190029072849e-05 1.475460186390069357e-06
1.687810860966026686e-05 1.505723471430165210e-06
1.711064684178967876e-05 1.536369106291512078e-06
1.734467409615822510e-05 1.567398533460352764e-06
1.758018786690944537e-05 1.598813172651601455e-06
1.781718564307449652e-05 1.630614420775687687e-06
1.805566490879564426e-05 1.662803651907718407e-06
1.829562314354990014e-05 1.695382217258952239e-06
1.853705782237275679e-05 1.728351445150582330e-06
1.877996641608198762e-05 1.761712640989824820e-06
1.902434639150150740e-05 1.795467087248310399e-06
1.927019521168521265e-05 1.829616043442775555e-06
1.951751033614083206e-05 1.864160746118054573e-06
1.976628922105372617e-05 1.899102408832372083e-06
2.001652931951059894e-05 1.934442222144935083e-06
2.026822808172312461e-05 1.970181353605826566e-06
2.052138295525144919e-05 2.006320947748203290e-06
2.077599138522753274e-05 2.042862126082792388e-06
2.103205081457834252e-05 2.079805987094696789e-06
2.128955868424882599e-05 2.117153606242497784e-06
2.154851243342469398e-05 2.154906035959662793e-06
2.180890949975495321e-05 2.193064305658249444e-06
2.207074731957418129e-05 2.231629421734905951e-06
2.233402332812453066e-05 2.270602367579158910e-06
2.259873495977742422e-05 2.309984103583986809e-06
2.286487964825492230e-05 2.349775567158668251e-06
2.313245482685075762e-05 2.389977672743897676e-06
2.340145792865099412e-05 2.430591311829161822e-06
2.367188638675428946e-05 2.471617352972361665e-06
2.394373763449174065e-05 2.513056641821675186e-06
2.421700910564630633e-05 2.554910001139647837e-06
2.449169823467174098e-05 2.597178230829496723e-06
2.476780245691105495e-05 2.639862107963622581e-06
2.504531920881446279e-05 2.682962386814314299e-06
2.532424592815678272e-05 2.726479798886634545e-06
2.560458005425429062e-05 2.770415052953475924e-06
2.588631902818096754e-05 2.814768835092777908e-06
2.616946029298416109e-05 2.859541808726886342e-06
2.645400129389958947e-05 2.904734614664051701e-06
2.673993947856570858e-05 2.950347871142050024e-06
2.702727229723737778e-05 2.996382173873913368e-06
2.731599720299884463e-05 3.042838096095762610e-06
2.760611165197597748e-05 3.089716188616726487e-06
2.789761310354776957e-05 3.137016979870936709e-06
2.819049902055705711e-05 3.184740975971586877e-06
2.848476686952045134e-05 3.232888660767044181e-06
2.878041412083744385e-05 3.281460495898999900e-06
2.907743824899868519e-05 3.330456920862647288e-06
2.937583673279339615e-05 3.379878353068875388e-06
2.967560705551590487e-05 3.429725187908466505e-06
2.997674670517126919e-05 3.479997798818284212e-06
3.027925317467999435e-05 3.530696537349442134e-06
3.058312396208179182e-05 3.581821733237439125e-06
3.088835657073839627e-05 3.633373694474250242e-06
3.119494850953536612e-05 3.685352707382362930e-06
3.150289729308292515e-05 3.737759036690745711e-06
3.181220044191575730e-05 3.790592925612738797e-06
3.212285548269178158e-05 3.843854595925853907e-06
3.243485994838984953e-05 3.897544248053473987e-06
3.274821137850639918e-05 3.951662061148440957e-06
3.306290731925101126e-05 4.006208193178517529e-06
3.337894532374086081e-05 4.061182781013714605e-06
3.369632295219407794e-05 4.116585940515464369e-06
3.401503777212192258e-05 4.172417766627633128e-06
3.433508735851988872e-05 4.228678333469352734e-06
3.465646929405759562e-05 4.285367694429656189e-06
3.497918116926753389e-05 4.342485882263896252e-06
3.530322058273262562e-05 4.400032909191931801e-06
3.562858514127256493e-05 4.458008766998059092e-06
3.595527246012897256e-05 4.516413427132663331e-06
3.628328016314931042e-05 4.575246840815575330e-06
3.661260588296954259e-05 4.634508939141099359e-06
3.694324726119552232e-05 4.694199633184700331e-06
3.727520194858313223e-05 4.754318814111323222e-06
3.760846760521708958e-05 4.814866353285322704e-06
3.794304190068845724e-05 4.875842102381982655e-06
